avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.]
193.3125,"[-0.06794648 -0.16085835 -0.11889417 -0.16385779 -0.19216943 -0.35862001
 -0.20979214 -0.04965082  0.17393349]",1471.5,"[ 0.67674216 -0.10486659  0.01121704  0.51207683 -0.27449619  0.05722591
 -0.67249421 -0.82837617 -0.23231931]",746.25,"[ 0.71503444  0.01822741 -0.45999728 -0.06527704 -0.05719671 -0.39580949
 -0.52545901 -0.10593124  0.35062556]"
